,BANK,ENV,MODEL,INS,CONT,LAYERS,PTWD,FTWD,PER TEST,PER SUB,TRAIN,CV
1,MFC,D2,xwbi-rc,-8.0,13.0,5.0,1.0,0.1,31.19,27.21,64.48,53.17
3,MFC,D2,xwbi-rc,-8.0,13.0,5.0,1.0,0.01,27.99,20.42,64.48,53.17
5,MFC,D2,xwbi-rc,-8.0,13.0,5.0,1.0,0.001,27.92,19.37,64.48,53.17
7,MFC,D2,xwbi-rc,-8.0,13.0,5.0,1.0,0.0001,27.97,19.86,64.48,53.17
9,MFC,D2,xwbi-rc,-8.0,13.0,5.0,1.0,1e-05,27.49,18.5,64.48,53.17
11,MFC,D2,xwbi-rc,-8.0,13.0,5.0,0.1,0.1,29.68,25.48,64.48,53.17
13,MFC,D2,xwbi-rc,-8.0,13.0,5.0,0.1,0.01,26.42,17.95,64.48,53.17
15,MFC,D2,xwbi-rc,-8.0,13.0,5.0,0.1,0.001,26.51,17.01,64.48,53.17
17,MFC,D2,xwbi-rc,-8.0,13.0,5.0,0.1,0.0001,26.42,17.26,64.48,53.17
19,MFC,D2,xwbi-rc,-8.0,13.0,5.0,0.1,1e-05,26.28,16.09,64.48,53.17
20,MFC,D2,xwbi-rc,-8.0,13.0,5.0,0.001,0.001,24.97,15.1,64.29,52.65
21,MFC,D2,xwbi-lc,-8.0,13.0,5.0,0.001,0.001,24.91,16.47,63.98,52.89