BANK;ENV;TEST;HMM;COMP;PER;;Diff
MFC;Z;TEST;8;624;50.06;48.19;1.87
MFC;Z;TEST;12;936;49.21;46.57;2.64
MFC;Z;TEST;16;1248;48.61;45.21;3.4
MFC;Z;TEST;20;1560;48.1;44.04;4.06
MFC;Z;TEST;24;1872;47.92;42.85;5.07
MFC;Z;TEST;28;2184;47.81;41.79;6.02
MFC;Z;TEST;32;2496;47.73;40.81;6.92
MFC;D2;TEST;8;1872;36.12;34.17;1.95
MFC;D2;TEST;12;2808;34.19;31.57;2.62
MFC;D2;TEST;16;3744;32.97;29.52;3.45
MFC;D2;TEST;20;4680;32.44;28.19;4.25
MFC;D2;TEST;24;5616;32.04;26.63;5.41
MFC;D2;TEST;28;6552;31.8;25.47;6.33
MFC;D2;TEST;32;7488;31.34;24.42;6.92
MFC;D;TEST;8;1248;39.07;37.37;1.7
MFC;D;TEST;12;1872;37.41;34.94;2.47
MFC;D;TEST;16;2496;36.48;33.12;3.36
MFC;D;TEST;20;3120;35.93;31.69;4.24
MFC;D;TEST;24;3744;35.51;30.36;5.15
MFC;D;TEST;28;4368;35.19;29.23;5.96
MFC;D;TEST;32;4992;34.99;28.33;6.66
MFC;D2;SUBTRAIN;8;1872;;;
MFC;D2;SUBTRAIN;12;2808;;;
MFC;D2;SUBTRAIN;16;3744;;;
MFC;D2;SUBTRAIN;20;4680;;;
MFC;D2;SUBTRAIN;24;5616;;;
MFC;D2;SUBTRAIN;28;6552;;;
MFC;D2;SUBTRAIN;32;7488;;;
MFC;D;SUBTRAIN;8;1248;;;
MFC;D;SUBTRAIN;12;1872;;;
MFC;D;SUBTRAIN;16;2496;;;
MFC;D;SUBTRAIN;20;3120;;;
MFC;D;SUBTRAIN;24;3744;;;
MFC;D;SUBTRAIN;28;4368;;;
BANK;ENV;TEST;HMM;COMP;PER;;
FBK;Z;TEST;8;1200;52.25;;
FBK;Z;TEST;12;1800;51.02;;
FBK;Z;TEST;16;2400;49.97;;
FBK;Z;TEST;20;3000;49.37;;
FBK;Z;TEST;24;3600;48.97;;
FBK;Z;TEST;28;4200;48.62;;
FBK;Z;TEST;32;4800;48.42;;
FBK;Z;SUBTRAIN;8;1200;50.3;;
FBK;Z;SUBTRAIN;12;1800;47.69;;
FBK;Z;SUBTRAIN;16;2400;45.54;;
FBK;Z;SUBTRAIN;20;3000;44.15;;
FBK;Z;SUBTRAIN;24;3600;42.79;;
FBK;Z;SUBTRAIN;28;4200;41.4;;
FBK;Z;SUBTRAIN;32;4800;40.2;;
FBK;D2;TEST;8;3600;48.49;;
FBK;D2;TEST;12;5400;45.72;;
FBK;D2;TEST;16;7200;44.32;;
FBK;D2;TEST;20;9000;42.76;;
FBK;D2;TEST;24;10800;42.02;;
FBK;D2;TEST;28;12600;41.11;;
FBK;D2;TEST;32;14400;40.41;;
FBK;D2;SUBTRAIN;8;3600;46.8;;
FBK;D2;SUBTRAIN;12;5400;42.63;;
FBK;D2;SUBTRAIN;16;7200;40.43;;
FBK;D2;SUBTRAIN;20;9000;37.88;;
FBK;D2;SUBTRAIN;24;10800;36.3;;
FBK;D2;SUBTRAIN;28;12600;34.16;;
FBK;D2;SUBTRAIN;32;14400;32.77;;
FBK;D;TEST;8;2400;48.4;;
FBK;D;TEST;12;3600;46.11;;
FBK;D;TEST;16;4800;44.63;;
FBK;D;TEST;20;6000;43.41;;
FBK;D;TEST;24;7200;42.31;;
FBK;D;TEST;28;8400;41.4;;
FBK;D;TEST;32;9600;40.94;;
FBK;D;SUBTRAIN;8;2400;46.77;;
FBK;D;SUBTRAIN;12;3600;43.59;;
FBK;D;SUBTRAIN;16;4800;41.28;;
FBK;D;SUBTRAIN;20;6000;39.01;;
FBK;D;SUBTRAIN;24;7200;37.11;;
FBK;D;SUBTRAIN;28;8400;35.69;;
FBK;D;SUBTRAIN;32;9600;34.15;;